,barrios_hecho,conducta,quantity
220,LA INDEPENDENCIA,VIOLENCIA INTRAFAMILIAR,162
221,LA INMACULADA,DELITOS SEXUALES O PROSTITUCION,11
222,LA INMACULADA,HURTO,129
223,LA INMACULADA,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),26
224,LA INMACULADA,LESIONES PERSONALES,123
225,LA INMACULADA,OTROS,15
226,LA INMACULADA,VIOLENCIA INTRAFAMILIAR,69
227,LA JUVENTUD,DELITOS SEXUALES O PROSTITUCION,22
228,LA JUVENTUD,HURTO,172
229,LA JUVENTUD,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),72
230,LA JUVENTUD,LESIONES PERSONALES,116
231,LA JUVENTUD,OTROS,23
232,LA JUVENTUD,VIOLENCIA INTRAFAMILIAR,79
233,LA UNIVERSIDAD,DELITOS SEXUALES O PROSTITUCION,33
234,LA UNIVERSIDAD,HURTO,1426
235,LA UNIVERSIDAD,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),215
236,LA UNIVERSIDAD,LESIONES PERSONALES,248
237,LA UNIVERSIDAD,OTROS,14
238,LA UNIVERSIDAD,VIOLENCIA INTRAFAMILIAR,93
239,LAS HAMACAS,DELITOS SEXUALES O PROSTITUCION,8
240,LAS HAMACAS,HURTO,39
241,LAS HAMACAS,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),11
242,LAS HAMACAS,LESIONES PERSONALES,32
243,LAS HAMACAS,OTROS,4
244,LAS HAMACAS,VIOLENCIA INTRAFAMILIAR,31
245,LIZCANO I,DELITOS SEXUALES O PROSTITUCION,4
246,LIZCANO I,HURTO,10
247,LIZCANO I,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
248,LIZCANO I,LESIONES PERSONALES,10
249,LIZCANO I,OTROS,2
250,LIZCANO I,VIOLENCIA INTRAFAMILIAR,17
251,LIZCANO II,DELITOS SEXUALES O PROSTITUCION,1
252,LIZCANO II,HURTO,18
253,LIZCANO II,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
254,LIZCANO II,LESIONES PERSONALES,8
255,LIZCANO II,VIOLENCIA INTRAFAMILIAR,15
256,LOS ANGELES,DELITOS SEXUALES O PROSTITUCION,12
257,LOS ANGELES,HURTO,92
258,LOS ANGELES,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),44
259,LOS ANGELES,LESIONES PERSONALES,62
260,LOS ANGELES,OTROS,6
261,LOS ANGELES,VIOLENCIA INTRAFAMILIAR,48
262,MARIA PAZ,DELITOS SEXUALES O PROSTITUCION,35
263,MARIA PAZ,HURTO,127
264,MARIA PAZ,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),27
265,MARIA PAZ,LESIONES PERSONALES,160
266,MARIA PAZ,OTROS,16
267,MARIA PAZ,VIOLENCIA INTRAFAMILIAR,136
268,MESETAS DEL SANTUARIO,HURTO,1
269,MINUTO DE DIOS,DELITOS SEXUALES O PROSTITUCION,17
270,MINUTO DE DIOS,HURTO,107
271,MINUTO DE DIOS,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),20
