barrios_hecho,ano,quantity
JOSE MARIA CORDOBA,2010,15
JOSE MARIA CORDOBA,2011,18
JOSE MARIA CORDOBA,2012,17
JOSE MARIA CORDOBA,2013,14
JOSE MARIA CORDOBA,2014,18
JOSE MARIA CORDOBA,2015,12
JOSE MARIA CORDOBA,2016,19
JOSE MARIA CORDOBA,2017,20
JOSE MARIA CORDOBA,2018,14
JOSE MARIA CORDOBA,2019,11
JOSE MARIA CORDOBA,2020,16
JOSE MARIA CORDOBA,2021,11
KENNEDY,2010,100
KENNEDY,2011,123
KENNEDY,2012,110
KENNEDY,2013,104
KENNEDY,2014,112
KENNEDY,2015,98
KENNEDY,2016,132
KENNEDY,2017,120
KENNEDY,2018,157
KENNEDY,2019,128
KENNEDY,2020,103
KENNEDY,2021,135
LA ESPERANZA I,2010,26
LA ESPERANZA I,2011,43
LA ESPERANZA I,2012,20
LA ESPERANZA I,2013,25
LA ESPERANZA I,2014,27
LA ESPERANZA I,2015,32
LA ESPERANZA I,2016,37
LA ESPERANZA I,2017,37
LA ESPERANZA I,2018,31
LA ESPERANZA I,2019,26
LA ESPERANZA I,2020,19
LA ESPERANZA I,2021,21
LA ESPERANZA II,2010,31
LA ESPERANZA II,2011,34
LA ESPERANZA II,2012,21
LA ESPERANZA II,2013,24
LA ESPERANZA II,2014,26
LA ESPERANZA II,2015,28
LA ESPERANZA II,2016,34
LA ESPERANZA II,2017,23
LA ESPERANZA II,2018,52
LA ESPERANZA II,2019,42
LA ESPERANZA II,2020,31
LA ESPERANZA II,2021,30
LA ESPERANZA III,2010,13
LA ESPERANZA III,2011,20
LA ESPERANZA III,2012,33
LA ESPERANZA III,2013,18
LA ESPERANZA III,2014,15
LA ESPERANZA III,2015,23
LA ESPERANZA III,2016,26
LA ESPERANZA III,2017,25
LA ESPERANZA III,2018,20
LA ESPERANZA III,2019,16
LA ESPERANZA III,2020,8
LA ESPERANZA III,2021,8
LA FERIA,2010,36
LA FERIA,2011,30
LA FERIA,2012,40
LA FERIA,2013,37
LA FERIA,2014,55
LA FERIA,2015,31
LA FERIA,2016,43
LA FERIA,2017,36
LA FERIA,2018,46
LA FERIA,2019,50
LA FERIA,2020,41
LA FERIA,2021,44
LA GLORIA,2010,7
LA GLORIA,2011,9
LA GLORIA,2012,9
LA GLORIA,2013,5
LA GLORIA,2014,6
LA GLORIA,2015,9
LA GLORIA,2016,18
LA GLORIA,2017,10
LA GLORIA,2018,10
LA GLORIA,2019,4
LA GLORIA,2020,6
LA GLORIA,2021,6
LA INDEPENDENCIA,2010,51
LA INDEPENDENCIA,2011,53
LA INDEPENDENCIA,2012,39
LA INDEPENDENCIA,2013,56
LA INDEPENDENCIA,2014,46
LA INDEPENDENCIA,2015,56
LA INDEPENDENCIA,2016,53
LA INDEPENDENCIA,2017,50
LA INDEPENDENCIA,2018,65
LA INDEPENDENCIA,2019,51
LA INDEPENDENCIA,2020,36
LA INDEPENDENCIA,2021,36
LA INMACULADA,2016,61
LA INMACULADA,2017,81
LA INMACULADA,2018,75
LA INMACULADA,2019,59
LA INMACULADA,2020,45
LA INMACULADA,2021,53
LA JUVENTUD,2010,32
LA JUVENTUD,2011,54
LA JUVENTUD,2012,23
LA JUVENTUD,2013,39
LA JUVENTUD,2014,49
LA JUVENTUD,2015,43
LA JUVENTUD,2016,47
LA JUVENTUD,2017,52
LA JUVENTUD,2018,44
LA JUVENTUD,2019,48
LA JUVENTUD,2020,25
LA JUVENTUD,2021,28
LA UNIVERSIDAD,2010,120
LA UNIVERSIDAD,2011,158
LA UNIVERSIDAD,2012,134
LA UNIVERSIDAD,2013,185
LA UNIVERSIDAD,2014,131
LA UNIVERSIDAD,2015,143
LA UNIVERSIDAD,2016,190
LA UNIVERSIDAD,2017,202
LA UNIVERSIDAD,2018,199
LA UNIVERSIDAD,2019,281
LA UNIVERSIDAD,2020,137
LA UNIVERSIDAD,2021,149
LAS HAMACAS,2010,15
LAS HAMACAS,2011,6
LAS HAMACAS,2012,11
LAS HAMACAS,2013,8
LAS HAMACAS,2014,11
LAS HAMACAS,2015,13
LAS HAMACAS,2016,5
LAS HAMACAS,2017,6
LAS HAMACAS,2018,16
LAS HAMACAS,2019,8
LAS HAMACAS,2020,13
LAS HAMACAS,2021,13
LIZCANO I,2010,4
LIZCANO I,2011,4
LIZCANO I,2012,5
LIZCANO I,2013,4
LIZCANO I,2014,3
LIZCANO I,2015,7
LIZCANO I,2016,2
LIZCANO I,2017,3
LIZCANO I,2018,4
LIZCANO I,2019,4
LIZCANO I,2020,3
LIZCANO I,2021,1
LIZCANO II,2010,7
LIZCANO II,2011,2
LIZCANO II,2012,2
LIZCANO II,2013,3
LIZCANO II,2014,4
LIZCANO II,2015,5
LIZCANO II,2016,3
LIZCANO II,2017,3
LIZCANO II,2018,3
LIZCANO II,2019,9
LIZCANO II,2020,2
LOS ANGELES,2010,17
LOS ANGELES,2011,20
LOS ANGELES,2012,12
LOS ANGELES,2013,18
LOS ANGELES,2014,22
LOS ANGELES,2015,22
LOS ANGELES,2016,36
LOS ANGELES,2017,40
LOS ANGELES,2018,27
LOS ANGELES,2019,16
LOS ANGELES,2020,16
LOS ANGELES,2021,18
MARIA PAZ,2010,25
MARIA PAZ,2011,39
MARIA PAZ,2012,38
MARIA PAZ,2013,37
MARIA PAZ,2014,41
MARIA PAZ,2015,33
MARIA PAZ,2016,54
MARIA PAZ,2017,58
MARIA PAZ,2018,57
MARIA PAZ,2019,49
MARIA PAZ,2020,38
MARIA PAZ,2021,32
MESETAS DEL SANTUARIO,2016,1
MINUTO DE DIOS,2010,23
MINUTO DE DIOS,2011,13
MINUTO DE DIOS,2012,21
MINUTO DE DIOS,2013,16
MINUTO DE DIOS,2014,11
MINUTO DE DIOS,2015,18
MINUTO DE DIOS,2016,15
MINUTO DE DIOS,2017,22
MINUTO DE DIOS,2018,34
MINUTO DE DIOS,2019,16
MINUTO DE DIOS,2020,15
MINUTO DE DIOS,2021,21
MIRADOR,2011,2
MIRADOR,2013,1
MIRADOR,2014,1
MIRADOR,2016,4
MIRADOR,2017,1
MIRADOR,2018,1
MIRADOR,2020,1
MIRADOR,2021,1
MIRADOR DEL KENNEDY,2010,1
MIRADOR DEL KENNEDY,2012,2
MIRADOR DEL KENNEDY,2014,1
MIRADOR DEL KENNEDY,2015,1
MIRADOR DEL KENNEDY,2016,7
MIRADOR DEL KENNEDY,2017,2
MIRADOR DEL KENNEDY,2018,7
MIRADOR DEL KENNEDY,2019,4
MIRADOR DEL KENNEDY,2020,4
MIRADOR DEL KENNEDY,2021,14
MIRAFLORES,2010,59
MIRAFLORES,2011,69
MIRAFLORES,2012,64
MIRAFLORES,2013,57
MIRAFLORES,2014,57
MIRAFLORES,2015,43
MIRAFLORES,2016,47
MIRAFLORES,2017,53
MIRAFLORES,2018,63
MIRAFLORES,2019,33
MIRAFLORES,2020,30
MIRAFLORES,2021,36
MIRAMAR,2010,4
MIRAMAR,2011,11
MIRAMAR,2012,5
MIRAMAR,2013,2
MIRAMAR,2014,11
MIRAMAR,2015,8
MIRAMAR,2016,7
MIRAMAR,2017,6
MIRAMAR,2018,17
MIRAMAR,2019,9
MIRAMAR,2020,5
MIRAMAR,2021,11
MODELO,2010,32
MODELO,2011,41
MODELO,2012,55
MODELO,2013,34
MODELO,2014,42
MODELO,2015,22
MODELO,2016,40
MODELO,2017,43
MODELO,2018,48
MODELO,2019,47
MODELO,2020,18
MODELO,2021,26
MORRORICO,2010,45
MORRORICO,2011,51
MORRORICO,2012,79
MORRORICO,2013,57
MORRORICO,2014,59
MORRORICO,2015,46
MORRORICO,2016,77
MORRORICO,2017,83
MORRORICO,2018,87
MORRORICO,2019,78
MORRORICO,2020,61
MORRORICO,2021,110
MUTUALIDAD,2010,19
MUTUALIDAD,2011,36
MUTUALIDAD,2012,29
MUTUALIDAD,2013,60
MUTUALIDAD,2014,84
MUTUALIDAD,2015,113
MUTUALIDAD,2016,64
MUTUALIDAD,2017,60
MUTUALIDAD,2018,127
MUTUALIDAD,2019,64
MUTUALIDAD,2020,51
MUTUALIDAD,2021,79
NAPOLES,2010,16
NAPOLES,2011,15
NAPOLES,2012,17
NAPOLES,2013,18
NAPOLES,2014,19
NAPOLES,2015,24
NAPOLES,2016,21
NAPOLES,2017,15
NAPOLES,2018,22
NAPOLES,2019,13
NAPOLES,2020,14
NAPOLES,2021,16
NARIÑO,2010,16
NARIÑO,2011,35
NARIÑO,2012,46
NARIÑO,2013,31
NARIÑO,2014,47
NARIÑO,2015,33
NARIÑO,2016,35
NARIÑO,2017,28
NARIÑO,2018,29
NARIÑO,2019,29
NARIÑO,2020,14
NARIÑO,2021,31
NAVAS,2020,2
NORTE BAJO,2010,16
NORTE BAJO,2011,25
NORTE BAJO,2012,31
NORTE BAJO,2013,13
NORTE BAJO,2014,14
NORTE BAJO,2015,15
NORTE BAJO,2016,12
NORTE BAJO,2017,15
NORTE BAJO,2018,28
NORTE BAJO,2019,23
NORTE BAJO,2020,12
NORTE BAJO,2021,15
OLAS ALTAS,2010,7
OLAS ALTAS,2011,5
OLAS ALTAS,2012,7
OLAS ALTAS,2013,7
OLAS ALTAS,2014,9
OLAS ALTAS,2015,3
OLAS ALTAS,2016,9
OLAS ALTAS,2017,8
OLAS ALTAS,2018,10
OLAS ALTAS,2019,10
OLAS ALTAS,2020,5
OLAS ALTAS,2021,5
OLAS BAJAS,2010,7
OLAS BAJAS,2011,7
OLAS BAJAS,2012,18
OLAS BAJAS,2013,20
OLAS BAJAS,2014,18
OLAS BAJAS,2015,23
OLAS BAJAS,2016,24
OLAS BAJAS,2017,29
OLAS BAJAS,2018,15
OLAS BAJAS,2019,18
OLAS BAJAS,2020,12
OLAS BAJAS,2021,18
OLAS II,2010,5
OLAS II,2011,6
OLAS II,2012,4
OLAS II,2013,5
OLAS II,2014,5
OLAS II,2015,3
OLAS II,2016,8
OLAS II,2017,8
OLAS II,2018,4
OLAS II,2019,2
OLAS II,2020,2
OLAS II,2021,1
OMAGA I,2011,2
OMAGA I,2012,1
